Дактиль 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,topic 26,topic 27,topic 28,topic 29,topic 30
душа,жить,друг,мочь,время,жизнь,осень,ночь,стать,знать,мир,любовь,рука,год,белый,сердце,просто,снова,человек,каждый,день,ветер,хотеть,город,любить,слово,глаз,бог,свет,небо
тело,судьба,круг,почему,лечить,новый,дождь,сон,уйти,верить,место,счастие,звук,октябрь,чёрный,стучать,хотеться,вернуться,ангел,шаг,солнце,море,песня,дом,большой,сказать,слеза,дорога,солнечный,звезда
мысль,хотеться,враг,понять,идти,смерть,лето,звезда,память,сегодня,вечный,чувство,разлука,тысяча,снег,боль,сказать,весна,лицо,мгновение,новый,окно,сказать,улица,счастие,говорить,видеть,дать,словно,земля
чувство,дом,единственный,стоить,память,хороший,лист,окно,хороший,помнить,самый,надежда,плечо,ноябрь,птица,песня,весна,путь,тень,миг,огонь,осенний,правда,зима,ждать,мысль,боль,верить,тьма,падать
хороший,счастие,вьюга,сказать,застылый,бесконечный,уходить,спать,остаться,видеть,никто,стих,губа,май,зима,грудь,февраль,утро,кошка,движение,тень,играть,спеть,крыша,который,стих,смотреть,земля,ответ,солнце
песня,далёкий,нежный,смочь,уйти,короткий,листва,утро,образ,ждать,художник,вера,помнить,новый,белые,слышать,хватить,слышать,странный,край,лето,листва,рядом,старый,верить,право,лицо,путь,вечный,облако
спешить,мысль,счастие,случиться,прийти,вечный,осенний,луна,лёгкий,понять,уйти,кровь,тёплый,сколько,крыло,большой,бояться,судьба,который,детство,луч,снег,большой,дорога,забыть,слышать,улыбка,идти,тень,звёздный
светлый,значит,память,никак,последний,ждать,зима,тихо,сказать,вернуться,видеть,вечный,лёгкий,старый,красный,биться,уйти,идти,хороший,словно,ночью,лист,видеть,окно,весна,чужой,взгляд,хороший,конец,птица
мёртвый,сколько,забыть,значит,вода,прожить,прийти,тёмный,пора,случиться,странный,вновь,река,пройти,март,губа,думать,окно,крыло,суета,апрель,вода,хороший,серый,позабыть,голова,счастие,сила,дом,словно
птица,рядом,птица,ненужный,песок,идти,жёлтый,вечер,ранний,давно,смерть,новый,палец,столько,ангел,память,ответ,пытаться,счастливый,решить,солнечный,волна,сегодня,убийца,сказать,песня,словно,сколько,луна,крыло
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дактиль 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,topic 26,topic 27,topic 28,topic 29,topic 30
верить,ветер,мочь,осень,жизнь,снова,друг,время,небо,сердце,дождь,любовь,мир,рука,год,ночь,стать,свет,счастие,песня,бог,лето,просто,знать,спать,море,женщина,боль,дать,снег
хотеться,лист,понять,лист,смерть,слово,круг,вперёд,звезда,душа,окно,надежда,человек,словно,помнить,день,человек,каждый,радость,петь,человек,рассвет,хотеть,хороший,сон,волна,милый,слеза,сила,белый
любить,кружиться,смочь,жёлтый,судьба,мысль,забыть,палец,земля,грудь,капля,вера,огонь,глаз,сколько,утро,чужой,видеть,солнце,подарить,дорога,солнце,забыть,понимать,глазок,волноваться,добрый,память,каждый,зима
жить,тихо,случиться,багряный,полный,сказать,чувство,назад,крыло,бедный,ждать,вновь,сквозь,взгляд,новый,сон,вновь,мечта,светлый,стих,грех,подарить,слово,мама,окно,вода,красный,соль,вера,падать
ждать,трава,умереть,листва,хороший,вновь,терять,грустить,облако,грусть,прийти,кровь,умереть,звук,память,тень,вода,светлый,ненастье,струна,ради,запах,улыбнуться,казаться,уснуть,город,ангел,забыть,господь,снежный
вновь,падать,старость,тёплый,земной,видеть,чужой,слово,луна,чувство,серый,вечный,шёпотом,нежный,идти,тихий,ребёнок,ответ,родный,первый,вера,весна,сказать,видеть,заснуть,берег,нежный,сон,забыть,таять
надеяться,окно,ответ,золото,отчаяние,уйти,находить,глядеть,упасть,радость,город,слово,никто,губа,прожить,огонь,большой,дорога,встреча,весенний,помнить,зима,дышать,думать,тихо,синий,девочка,воля,старый,хлопья
вериться,солнце,глаз,краска,видеть,казаться,давать,месяц,лететь,печаль,туча,весна,пить,тень,старый,чёрный,забота,тьма,мечта,соловей,душа,тепло,прийтись,большой,кошка,туман,белый,кровь,душа,поле
говорить,ветка,судьба,цвет,живой,каждый,вьюга,имя,ангел,биться,туман,нежность,игра,плечо,мчаться,рассвет,близкий,ребёнок,дарить,апрель,солнце,цвет,любить,частый,хотеть,чайка,самый,страх,мысль,дом
смотреть,дерево,сомнение,лес,вперёд,звонок,счастливый,забвение,синий,покой,зонт,радоваться,сниться,лёгкий,пройти,луна,сегодня,слово,добрый,чудесный,камень,звёздный,жить,рядом,василёк,ласкать,ах,глупый,путь,чёрный
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дактиль 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
