Д3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
ночь,осень,мочь,сердце,жизнь,друг,снова,время,небо,знать
сон,лист,понять,любовь,бог,просто,слово,год,звезда,счастие
ветер,дождь,смочь,душа,мир,хотеть,мысль,боль,земля,любить
день,лето,случиться,стать,смерть,забыть,сказать,вперёд,крыло,верить
окно,жёлтый,умереть,вновь,человек,любить,вновь,палец,лето,свет
словно,листва,жить,боль,душа,жить,хотеть,память,солнце,хотеться
спать,ветер,глаз,надежда,судьба,слово,видеть,рука,облако,помнить
снег,осенний,душа,вера,год,стать,уйти,назад,лететь,год
белый,стать,верить,кровь,дать,чувство,каждый,имя,синий,каждый
весна,багряный,хотеть,чувство,полный,смотреть,казаться,грустить,ангел,ждать
,,,,,,,,,
Д5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
небо,осень,друг,жизнь,мочь,любовь,просто,каждый,сердце,знать
солнце,дождь,жить,человек,стена,счастие,любить,время,дракон,глаз
сон,ветер,двое,душа,смочь,улыбка,хотеть,память,последний,верить
ночь,лист,понять,бог,сказать,вновь,большой,сколько,смерть,мальчик
окно,лето,круг,стать,большой,мир,сказать,год,видеть,хотеться
белый,осенний,стоять,мир,рука,страсть,завтра,слово,мрак,помнить
снег,серый,видно,слово,уйти,день,слово,детство,свет,город
звезда,листва,шаг,жить,стих,кровь,хватить,снова,увидеть,имя
земля,капля,война,дать,чёрный,чувство,значит,старый,ответить,бог
весна,жёлтый,миг,путь,почему,аккорд,остаться,первый,враг,смотреть
,,,,,,,,,
Д4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
сердце,небо,чёрный,мочь,жизнь,осень,ночь,знать,друг,любовь
душа,солнце,белый,жить,время,лист,сон,просто,круг,счастие
слово,ветер,снег,понять,мир,лето,день,любить,человек,радость
снова,земля,красный,мысль,каждый,дождь,город,хотеть,жить,нежный
боль,птица,серый,сон,человек,ветер,спать,сказать,дружба,мечта
чувство,море,белые,девушка,новый,осенний,свет,верить,словно,помнить
слеза,вода,кровь,думать,год,жёлтый,окно,хороший,нужный,надежда
мысль,звезда,кошка,смочь,стать,зима,звезда,хотеться,свет,женщина
глаз,волна,роза,мир,жить,капля,утро,ждать,близкий,нежность
сила,серый,тень,уйти,день,листва,луна,говорить,бывать,чувство
,,,,,,,,,
Ам5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
просто,весна,любовь,друг,небо,время,знать,стать,слово,уходить
хотеть,осень,сердце,давать,звезда,мир,мочь,новый,снова,последний
остаться,лето,душа,суметь,белый,душа,любить,день,письмо,день
простить,зима,чувство,найти,земля,жизнь,верить,ждать,мысль,дождь
хотеться,солнце,надежда,улыбка,глаз,который,рука,сон,тяжёлый,печаль
уйти,вновь,боль,узнать,ветер,путь,видеть,прежде,пространство,год
сказать,снег,счастие,немного,луна,человек,помнить,надежда,просто,пока
смотреть,весенний,мечта,дом,ночь,бог,жить,природа,нежность,бог
рядом,осенний,любить,человек,чёрный,каждый,слышать,год,большой,дорога
глаз,ветер,тело,слеза,солнце,стих,цветок,жизнь,каждый,грудь
,,,,,,,,,
Ам4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
душа,лето,любовь,друг,любить,жизнь,небо,мочь,спасибо,знать
сердце,день,счастие,круг,сказать,человек,звезда,сказать,простить,хотеть
слово,осень,чувство,сегодня,просто,дорога,свет,простить,рядом,просто
боль,дождь,сердце,подруга,нежно,идти,солнце,просто,взгляд,жить
глаз,весна,надежда,хороший,забыть,бог,птица,смочь,любимый,видеть
рука,окно,радость,давать,сильный,жить,море,понять,каждый,снова
снова,зима,вновь,слово,хотеться,время,земля,стать,родный,верить
тело,ветер,мир,враг,простить,мир,лететь,забыть,нежность,помнить
слеза,снег,свет,двое,помнить,стать,волна,который,счастие,ждать
мысль,лист,страсть,год,понять,год,ветер,стих,поэт,сказать
,,,,,,,,,
Ам2,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
сердце,любовь,любить,друг,знать,небо,дорога,жизнь,день,жить
душа,верить,забыть,круг,верить,ветер,идти,хотеть,свет,стать
слово,мечта,простить,любим,мочь,солнце,бог,смерть,ночь,бояться
боль,кровь,уйти,враг,хотеть,птица,путь,покой,сон,человек
счастие,слово,просто,встреча,дверь,море,снова,год,мир,хороший
слеза,сказка,ждать,кожа,помнить,звезда,ждать,пытаться,тьма,чужой
рука,бог,хотеть,радость,понять,волна,дождь,глаз,тень,ребёнок
глаз,просто,вернуться,дарить,вновь,лететь,время,мир,окно,просто
улыбка,сон,молчать,хватать,пока,лето,далёкий,вечный,новый,устать
чувство,наркотик,мочь,вьюга,узнать,земля,дом,работа,ночью,сила
,,,,,,,,,
Ам3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
жизнь,день,друг,любовь,любить,слово,знать,душа,мочь,небо
жить,сон,круг,счастие,простить,сказать,верить,сердце,сказать,земля
мир,ночь,вместе,чувство,хотеть,стих,ждать,боль,простить,звезда
бог,ветер,давать,кровь,забыть,поэт,большой,счастие,просто,птица
дорога,весна,помнить,вновь,спасибо,писать,помнить,рука,стать,вода
человек,солнце,счастие,страсть,просто,снова,снова,тело,хотеть,море
идти,окно,верный,нежный,значит,глаз,видеть,тоска,большой,ветер
время,глаз,стать,надежда,любимый,говорить,простить,дышать,найти,крыло
год,снова,чужой,нежность,просить,просто,бояться,чувствовать,жить,лететь
судьба,осень,рука,разлука,жить,давать,жить,чувство,вернуться,луна
,,,,,,,,,
Ан4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
знать,небо,любовь,жизнь,друг,хотеть,любить,мочь,дождь,день
просто,земля,сердце,человек,стать,стать,уметь,жить,снег,ночь
слово,звезда,душа,мир,враг,устать,простить,чувство,осень,сон
сказать,ветер,чувство,жить,вместе,жить,жить,знать,окно,каждый
почему,свет,вновь,путь,помнить,родный,ненавидеть,уметь,зима,луна
глаз,солнце,счастие,судьба,навсегда,мечтать,страдать,бывать,весна,рассвет
понять,вода,надежда,год,круг,сказать,забыть,стать,лето,тень
смочь,словно,боль,дорога,разлука,забыть,прощать,помочь,белый,тишина
забыть,облако,нежный,идти,огонь,далеко,отдать,хороший,ветер,спать
слеза,река,страсть,счастие,вспомнить,хороший,бывать,говорить,город,утро
,,,,,,,,,
Ан5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
просто,небо,друг,любовь,жизнь,любить,день,город,глаз,мочь
хотеть,дождь,враг,душа,судьба,простить,каждый,мост,рука,одиночество
знать,ветер,далёкий,сердце,мир,слово,год,дом,сон,знать
стать,снег,круг,счастие,путь,сказать,время,ночь,слово,рассказать
почему,окно,дорога,надежда,дать,прощать,новый,улица,сердце,сказать
жить,осень,родный,чувство,дорога,боль,снова,фонарь,губа,однажды
сказать,зима,рука,свет,бог,губа,сколько,белый,ночь,сегодня
верить,весна,суметь,радость,который,снова,память,ждать,взгляд,который
понять,земля,беречь,вера,идти,жить,помнить,который,словно,время
хотеться,солнце,говорить,бог,жить,помнить,ждать,снег,слеза,недуг
,,,,,,,,,
Ан3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
дождь,знать,друг,любить,любовь,хотеть,жизнь,день,мочь,небо
ветер,слово,круг,жить,сердце,подарить,душа,год,просто,ночь
осень,сказать,вместе,уметь,счастие,жить,мир,каждый,жить,звезда
снег,просто,враг,милый,душа,стать,жить,новый,понять,сон
весна,сердце,год,забыть,вновь,рядом,человек,ждать,стать,свет
окно,почему,рука,нежно,чувство,тело,бог,рождение,случиться,глаз
лето,уйти,подруга,ненавидеть,кровь,целовать,судьба,вспоминать,пока,рука
зима,забыть,вьюга,говорить,говорить,умереть,дорога,прожить,видеть,луна
лист,снова,встреча,сильно,слово,большой,путь,ночь,чувство,словно
белый,ждать,забыть,большой,нежный,рассказать,стать,сколько,помочь,солнце
,,,,,,,,,
Ан2,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
сердце,знать,мочь,любить,хотеть,жизнь,уходить,любовь,небо,друг
душа,забыть,понять,почему,стать,мир,дождь,вновь,сон,круг
боль,уйти,найти,жить,понять,жить,навсегда,кровь,ночь,враг
словно,просто,рядом,слышать,видеть,год,прощаться,счастие,ветер,подруга
рука,сказать,молчать,уметь,умереть,путь,жалеть,чувство,свет,вьюга
тело,ждать,стать,молчать,мечтать,судьба,дверь,слово,день,встреча
глаз,слово,почему,никто,большой,дорога,след,подарить,окно,милый
биться,понять,видеть,забыть,молчать,бог,дорога,страсть,дождь,рука
тоска,простить,смотреть,нужный,смочь,каждый,просить,мечта,снег,разлука
слеза,верить,стоить,простить,жить,человек,возвращаться,судьба,звезда,год
,,,,,,,,,
Х4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
любовь,небо,знать,день,спать,любить,жизнь,друг,мочь,хотеть
сердце,ветер,стать,год,сон,забыть,мир,круг,понять,сказать
душа,солнце,жить,новый,ночь,сказать,смерть,милый,просто,обнять
вновь,снег,сказать,каждый,окно,жить,жить,вместе,простить,увидеть
боль,дождь,просто,счастие,луна,простить,счастие,подруга,забыть,мечтать
счастие,осень,человек,рождение,тихо,родный,судьба,хороший,помочь,большой
глаз,лето,бог,праздник,звезда,милый,свет,вокруг,иль,рядом
чувство,белый,ждать,радость,бай,любимый,путь,вьюга,сказать,лететь
слово,свет,дать,время,ночью,рядом,человек,верный,случиться,надоесть
слеза,земля,хороший,поздравлять,тишина,верить,прекрасный,рядом,смочь,бояться
,,,,,,,,,
Х3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
