Д4,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
знать,осень,мочь,время,чёрный,жизнь,белый,небо,друг,сердце
слово,лист,жить,год,серый,каждый,снег,ночь,круг,любовь
снова,лето,понять,день,красный,мир,город,солнце,жить,душа
любить,дождь,просто,новый,кровь,человек,зима,звезда,словно,счастие
стать,ветер,сон,память,кошка,жить,белые,сон,близкий,чувство
просто,осенний,остаться,самый,тень,новый,весна,свет,человек,боль
хотеть,капля,верить,уходить,белый,бог,цвет,ветер,вместе,слеза
хороший,жёлтый,мир,прийти,тёмный,смерть,снежный,день,год,радость
сказать,листва,мысль,мир,лицо,год,падать,земля,день,кровь
хотеться,зима,кошка,вечность,смерть,судьба,зимний,луна,дать,надежда
,,,,,,,,,
Д5,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
мочь,дождь,друг,жизнь,небо,сердце,просто,знать,каждый,душа
стена,осень,круг,человек,ночь,любовь,любить,верить,слово,бог
смочь,ветер,двое,мир,солнце,счастие,хотеть,глаз,время,стать
сказать,лист,жить,жить,сон,свет,большой,помнить,память,дать
самый,лето,счастие,хороший,окно,последний,сказать,имя,год,нежный
рука,осенний,понять,зло,белый,смерть,слово,город,сколько,господь
большой,серый,стоять,боль,весна,кровь,остаться,мальчик,первый,спешить
простой,листва,миг,вечный,утро,мир,значит,счастливый,детство,уйти
мысль,последний,небо,бесконечный,звезда,крыло,стать,время,море,быстро
слеза,капля,словно,кошка,снег,вера,завтра,смотреть,старый,милый
,,,,,,,,,
Д3,,,,,,,,,
topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
ночь,небо,мочь,осень,время,жизнь,сердце,душа,стать,знать
сон,звезда,юность,лист,имя,мир,любовь,бог,боль,снова
день,земля,судьба,дождь,надежда,смерть,счастие,дать,вновь,хотеть
ветер,крыло,понять,лето,боль,год,вновь,человек,лето,просто
словно,солнце,легко,жёлтый,вечность,судьба,нежный,мир,судьба,друг
окно,облако,дело,ветер,память,путь,надежда,свет,ребёнок,любить
белый,упасть,тело,листва,строка,хороший,кровь,сила,сегодня,слово
солнце,лето,глаз,осенний,месяц,вечный,вера,господь,чужой,верить
